name;version;license;copyrights;end-of-support;dependencies;language;repository;email;URL;;;;
jetty-continuation;8.1.15.v20140411; Eclipse Public License  Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.eclipse.jetty/jetty-continuation/8.1.15.v20140411;;;;
jetty-http;8.1.15.v20140411; Eclipse Public License  Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.eclipse.jetty/jetty-http/8.1.15.v20140411;;;;
jetty-io;8.1.15.v20140411; Eclipse Public License  Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.eclipse.jetty/jetty-io/8.1.15.v20140411;;;;
jetty-util;8.1.15.v20140411; Eclipse Public License  Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.eclipse.jetty/jetty-util/8.1.15.v20140411;;;;
jetty-security;8.1.15.v20140411; Eclipse Public License  Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.eclipse.jetty/jetty-security/8.1.15.v20140411;;;;
geronimo-servlet_3.0_spec;1.0;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.apache.geronimo.specs/geronimo-servlet_3.0_spec;;;;
rs-api;2.0-m10; CDDL  GPL2 w/ CPE ;;;;java;Central Repository;;https://mvnrepository.com/artifact/javax.ws.rs/javax.ws.rs-api/2.0-m10;;;;
poi;3.9;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.apache.poi/poi/3.9;;;;
commons-codec;1.5;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/commons-codec/commons-codec/1.5;;;;
commons-lang3;3.9;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.apache.commons/commons-lang3/3.9;;;;
javax.json-api;1.1;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/javax.json/javax.json-api/1.1;;;;
json;20080701;CDDL  GPL;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.json/json/20080701;;;;
okhttp;4.5.0;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/com.squareup.okhttp3/okhttp/5.0.0-alpha.1;;;;
okio;2.5.0;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/com.squareup.okio/okio/2.5.0;;;;
kotlin-stdlib-common;1.3.70;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-common/1.3.70;;;;
kotlin-stdlib;1.3.10;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib/1.3.70;;;;
annotations;13.0;The Apache Software License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.jetbrains/annotations/13.0;;;;
slf4j-api;1.7.9;MIT License;;;;java;Central Repository;;https://mvnrepository.com/artifact/org.slf4j/slf4j-api/1.7.9;;;;
